words,count,attributes
said,1862,
2015,1529,
car,1274,
one,1219,
2018,1199,
get,1180,
like,1159,
2014,1142,
2017,1092,
show,1041,
year,998,
would,931,
previous,910,practical
time,908,practical
quote,895,
think,842,practical
dont,797,
wife,771,practical
hyundai,722,
2008,716,
know,699,
need,687,desire
go,674,
back,659,
sport,652,performance
good,639,performance
even,621,performance
new,614,features n look
day,597,
make,591,
sebring,589,
awd,583,
going,578,
want,572,desire
see,563,
much,562,
thing,561,
people,561,practical
im,557,
way,546,
honda,546,
jmonroe,542,
right,531,
got,528,
could,517,
vehicle,515,
mine,514,
mb,512,
well,509,performance
still,506,
look,498,features n look
2011,492,
c250,481,
e400,480,
glk350,480,
say,474,
really,471,
lot,462,
2013,458,
2016,453,
name,449,
take,444,
acura,440,
also,440,
coupe,422,
work,406,performance
mercedes,404,
long,399,durability
never,398,
last,397,durability
ford,395,
many,386,practical
2009,385,
old,384,durability
u,382,
limited,381,
around,378,
s450,375,
used,374,
anything,365,
something,363,
chevy,361,
sonata,361,
review,359,
help,359,
ctx700d,359,
ragtop,359,
first,354,performance
thats,353,
since,352,
elantra,346,
sure,343,durability
chrysler,339,
share,337,
guy,336,
didnt,335,
17,329,
6,326,
use,322,
moderator,315,
maybe,315,
home,314,practical
phone,309,
another,308,
probably,307,
come,304,
month,300,
problem,297,performance
better,297,performance
buy,294,practical
post,293,durability
son,293,practical
great,291,performance
speed,290,performance
always,287,durability
every,287,
someone,282,practical
performance,280,performance
2,278,
cadillac,278,
ago,277,
drive,277,practical
least,275,
price,273,practical
f150,273,
place,272,
mustang,271,
though,270,
may,269,
pay,269,
premium,269,features n look
15,267,
two,267,
change,265,
se,265,
pretty,264,features n look
36,263,
12,263,
cant,261,
rdx,260,
might,260,
kia,260,
convertible,259,features n look
1968,259,
house,258,practical
little,256,features n look
thought,255,practical
getting,255,
today,255,
holiday,252,
find,252,
edmunds,251,
next,250,
mile,249,practical
put,248,
oldsmobile,247,
at,247,
nice,246,performance
cutlas,245,
ive,244,
driver100,244,practical
money,244,practical
driving,244,practical
point,243,
2000,241,
keep,240,
start,239,
3,238,
legacy,237,
malibu,237,
went,235,
audi,234,
doesnt,234,
actually,234,
gt,234,
van,233,
mean,233,
abacomike,232,
end,231,
enough,231,
real,230,
give,230,
let,229,
week,229,
life,228,
buick,228,
remember,227,durability
le,227,
cruiser,226,
pt,225,
cruze,225,
2lt,223,
part,223,
bought,223,
2004,223,
driver,222,practical
call,222,
cobalt,222,
big,222,features n look
far,221,practical
road,221,
area,217,
made,215,
package,214,
send,212,
id,212,
bit,212,
company,210,
couple,208,
try,207,
bad,206,features n look
away,205,durability
looking,205,features n look
14,205,
10,203,
message,203,
tell,203,
best,201,
v8,201,
private,200,
sh,198,
genesis,198,
type,197,
yes,197,
cost,197,practical
job,195,
told,195,
left,194,
hour,192,
5,192,
vw,191,
ever,190,
ultimate,190,performance
email,189,
dealer,189,
100,188,
click,188,
system,188,
took,187,
cyl,187,
story,187,
using,186,
without,185,
kind,185,
country,182,
term,182,
ill,182,
seems,181,
youre,177,
thanks,177,
hit,177,
case,175,
front,174,
touring,174,
live,174,
nothing,174,
different,173,
issue,172,
course,172,
bmw,171,
sound,171,performance
either,170,
crew,169,
high,168,performance
town,168,
almost,167,
stuff,167,
sometimes,167,
quite,167,
deal,166,
believe,166,
anyone,165,
found,165,
wrangler,165,
number,165,
tlx,165,
lx,165,
club,164,
saw,164,
clicking,164,
done,162,
due,162,
trying,161,
challenge,161,
subaru,158,
430i,157,
wanted,157,desire
sign,157,
door,157,
4,156,
usually,156,
gran,156,
guess,155,
already,154,
came,154,
state,154,
ab348,154,
cup,154,
i3,154,
etc,153,
reason,153,
love,153,desire
run,153,
wont,152,
read,152,
1995,152,
16,152,
cooper,152,
aspec,151,
clubman,150,
1996,150,
side,149,
triple,149,
m235i,149,
hard,149,
model,149,
replica,149,
golf,149,
turn,148,
318ti,148,
rex2009,148,
1999,148,
328i,148,
everything,147,
1,147,
able,147,
traffic,146,
often,146,
isnt,146,
set,146,
wouldnt,144,
ok,144,
line,143,
hear,142,
tax,141,
account,141,
several,141,
must,141,
sale,140,
small,140,features n look
called,139,
20,138,
soul,138,
morning,137,
kid,137,
forester,137,
lane,137,
friend,136,
wrong,136,
person,135,
nissan,134,
happy,134,
stop,133,
top,133,
history,133,
fine,132,
forum,131,
market,129,
wheel,129,
working,129,
everyone,129,
hope,128,
buying,128,
likely,127,
note,127,
mr,127,
started,127,
wasnt,126,
seat,126,features n look
however,126,
local,125,
making,125,
toy,125,
else,123,
amount,123,
ask,122,
fwd,122,
especially,121,
idea,120,
second,120,
saab,120,
pilot,119,
convenience,119,
sell,119,
living,119,
plus,119,
experience,118,
school,118,
seen,118,
optimum,118,
paid,118,
interesting,118,
room,117,
question,117,
tt,117,
insurance,117,
family,117,
picture,117,
tried,116,
rear,116,
feel,116,
16t,115,
city,115,
along,115,
purchased,115,
care,115,
alltrack,115,
light,114,
move,114,
quattro,114,
2002,114,
others,114,
4motion,114,
behind,114,
TRUE,114,
mike,114,
looked,114,
commuter,114,
plan,114,
encore,114,
premiere,113,
5speed,113,
there,112,
law,112,
business,111,
check,111,
pickup,111,performance
night,111,
owner,111,
ex,111,
close,111,
asked,111,
seem,111,
man,111,
accord,110,
worth,110,
whole,110,
brake,110,practical
dog,110,
volt,110,
30,110,
93,109,
stickguy,109,
world,109,
yet,109,
worked,109,
agree,109,
graphicguy,109,
store,108,
minute,108,
tire,107,
alfa,107,
list,107,
instead,107,
understand,106,
couldnt,106,
fusion,105,
wonder,105,
easy,105,
talk,105,
50,105,
service,104,
viggen,104,
x1,104,
cab,104,
full,103,
romeo,103,
versa,103,
stelvio,103,
xdrive28i,103,practical
rather,103,
red,103,
past,103,
insider,102,
early,102,
longer,102,
thinking,102,
oldfarmer50,102,
matter,102,
current,102,
taking,102,
truck,101,
watch,100,
sentra,100,
stay,100,
1969,99,
happen,99,
chevrolet,99,
leased,99,
accident,98,practical
yesterday,98,
coming,98,
exactly,97,
finally,96,
low,96,
arent,96,
limit,96,
knew,96,
open,95,
auto,95,
fact,95,
2001,95,
f250,94,
air,94,
order,94,
age,94,
free,94,
hot,94,
sort,94,
offer,94,
rest,94,
leave,94,
roadside,94,
1976,94,
later,94,
assistance,94,
c20,93,
econoline,93,
tdi,93,
q7,93,
needed,93,
word,92,
changed,92,
test,92,
saying,92,
news,91,
payment,91,
sense,91,
9,91,
rate,91,
pfflyeredmundscom,91,
blog,91,
xlt,91,
pfflyers,90,
possible,90,
difference,90,
page,90,
mind,90,
oh,90,
jmonroe1,90,
enjoy,90,
late,90,
ticket,90,
parking,90,
trip,90,
happened,90,
large,90,
36r,90,
8,89,
fast,89,
folk,89,
heard,89,
similar,89,
infiniti,89,
tv,89,
worse,88,
figure,88,
paying,88,
mph,88,
reading,88,
talking,88,
prelude,88,
hand,87,
short,87,
enclave,87,
unless,86,
anyway,86,
given,86,
play,86,
civic,86,
window,86,
benefit,85,
roadburner,85,
higher,85,
head,85,
site,85,
space,84,
lower,84,
definitely,84,
27,84,
office,84,
sorry,84,
67,83,
happens,83,
fun,83,
near,83,
level,83,
link,83,
street,83,
whatever,82,
60,81,
q40,81,
add,81,
lost,80,
save,80,
young,80,
iluvmysephia1,80,
charge,80,
brand,80,
drove,80,
havent,79,
stick,79,
counting,79,
based,78,
address,78,
lady,77,
pick,77,performance
certain,77,
fintail,77,
sold,77,
power,77,
food,77,
chance,76,
apple,76,
liked,76,
card,76,
gave,76,
south,76,
expensive,76,
rt,76,
interest,76,
dino001,75,
black,75,
7,75,
security,75,
gone,75,
florida,75,
imidazol97,75,
dad,75,
spend,75,
computer,75,
mention,75,
older,74,
movie,74,
lol,74,
credit,74,
cool,74,
btw,74,
pension,74,
per,74,
whether,74,
hse,73,
coronet,73,
soon,73,
lr2,73,
44car,73,
towncountry,73,
selling,73,
log,72,
running,72,
25,72,
customer,72,
moving,72,
iphone,72,
watching,72,
favorite,72,
slow,71,
gas,71,
extra,71,
yeah,71,
water,71,
turbo,71,
hey,70,
90,70,
ride,70,
navigating,70,
screen,70,
three,70,
visit,69,
shop,69,
engine,69,performance
ext,69,
spent,69,
normal,69,
wait,69,
choice,69,
report,69,
login,69,
bill,68,
half,68,
stock,68,
foot,68,
court,68,
face,68,
winter,68,
waiting,68,
example,67,
j,67,
body,67,
outside,67,
whats,67,
result,67,
spot,67,
bring,67,
box,67,
poor,67,
police,67,
recently,66,
henryn,66,
supposed,66,
asking,66,
kept,66,
huge,66,
summer,66,
middle,66,
manufacturer,66,
option,66,
original,66,
decided,66,
70,65,
he,65,
tomorrow,65,
fair,65,
important,65,
fix,65,
toyota,65,
please,65,
camera,64,
thank,64,
checked,64,
product,64,
clear,64,
major,64,
building,64,
replaced,64,
cash,64,
faster,64,
mentioned,64,
surprised,64,
music,63,features n look
feeling,63,
board,63,
parent,63,
american,63,
damage,63,
base,63,
pulled,63,
public,63,
comment,62,
fee,62,
certainly,62,
handle,62,
l,62,
daughter,62,
beat,62,
value,62,practical
view,62,
become,62,
cause,62,
article,62,
woman,62,
follow,61,
fit,61,
class,61,
cheap,61,
available,61,
million,61,
player,61,
dollar,61,
buyer,61,
seeing,61,
condo,61,
altima,61,
group,60,
sedan,60,
control,60,
