,Date,User,Text
0,September 26,snakeweasel,"
I went and checked and yes the 59k one is an AMG.
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2015 Honda CTX700D"
1,September 26,snakeweasel,"
I would have told them that I used to but I gave up because they weren't fast enough to keep up with the other cars on the race track.
2008 Sebring Ragtop, 2011 Hyundai Sonata, 2015 Honda CTX700D"
2,September 26,bwia,"
No, it can't be otherwise the transactions wouldn't be secure.

America is slow adopt mobile payments. Even in remote parts of Africa this is the dominant form of payment ."
3,September 26,Mr_Shiftright,"stickguy said:
function is not reliability. So satisfaction could be caveated as, when not at dealer.

Just ask the Alfa boys about that.
True, true. Also, there's the ""unreliability"" that is merely inconvenient, and the kind that leaves you on the side of the road.
MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
4,September 26,imidazol97,"
show previous quotes



I would have told them that I used to but I gave up because they weren't fast enough to keep up with the other cars on the race track.

Many years back, but I believe I told them I was more likely to have NASCAR on than golf. Golf put me to sleep in most cases.

2015 Cruze 2LT, 2014 Malibu 2LT, 2008 Cobalt 2LT"
5,September 26,oldfarmer50,"driver100 said:
I hear lots of Honda and Toyota owners say they won't buy a D3 car ever again, but, I never hear a Honda or a Toyota owner saying they are going to go back to a D3.
My father was one of them, only bought Fords for over 30 years....then one Olds Omega (he felt the brakes were not safe).....then 2 Camry's, and that is all he would want after the first one.
After my experience with Toyota in the 80s I have been back in the D3 camp with the exception of one Mitsubishi. At the age I usually buy them I know the usual pitfalls and what it costs to fix them. Usually cheaper than foreign.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
6,September 26,ab348,"I had a Volvo (well, Dad's, but I was the only one who drove it), then a Toyota and a VW. That order is also how I would rank their unreliability, as the VW was by far the most trouble-free. D3 ever since with only 1 bad experience that was probably more dealer-related than anything.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
7,September 26,henryn,"bwia said:
show previous quotes





Does the app have ads?

No, it can't be otherwise the transactions wouldn't be secure.

America is slow adopt mobile payments. Even in remote parts of Africa this is the dominant form of payment .




-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=- end previous quotes =-=-=-=-=-=-=-=-

Well, most of this (mobile payments) is not quite what I would call free. I had to sign up for Zelle in order to receive some money that was coming to me. Otherwise it would have taken weeks and mounds of paperwork, long story on that.

In order to use Zelle, you have to have a bank account with one of the members of Zelle. I wound up opening an account with Chase just so I could receive the money.


2018 Ford F150 XLT Crew Cab, 2016 Chrysler Town & Country Touring"
8,September 26,ab348,"Back on the TV topic, I got to watch New Amsterdam. Sorry to say I disagree with @abacomike but I know I'm hard to please. I hated it but then again I haven't watched a medical show since St. Elsewhere in the 1980s. I thought this one was pretty manipulative just like This Is Us, another show I don't like. So I'm 0-for-3 on network premieres so far.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
9,September 26,PF_Flyer,"So, we are SO attached to our vehicles, it's amazing. My oldest daughter inherited my 2007 Versa hatchback about 8 years ago, and posted a ""tribute"" to it (which I shall not bore you with) on her FB page. New baby, almost 200,000 miles, and she's moving on to a Subaru Forester.

Little car did alright by us! She took some last shots just before taking it to trade, and posted one from when it was shiny and new


Edmunds Moderator

Need some roadside assistance? pf_flyer@edmunds.com - or send a private message by clicking on my name.

Just purchased or leased a vehicle? Share your vehicle reviews

PF_Flyer's 2014 Versa Note Long Term Blog
How To Start Your Own Long Term Blog"
